location,price,bedrooms,bathrooms,size
"DHA Phase 6, DHA Defence, Lahore",75000000,5,6,4500.0
"DHA Phase 6 - Block D, DHA Phase 6, Lahore",41000000,4,5,1575.0
"Canal Garden - Block A, Canal Garden, Lahore",140000000,5,6,9000.0
"DHA Phase 3, DHA Defence, Lahore",290000000,6,7,9000.0
"IEP Engineers Town, Lahore, Lahore",130000000,8,8,9000.0
"Bahria Town - Overseas B, Bahria Town - Overseas Enclave, Lahore",29500000,5,6,2250.0
"Bahria Town - Janiper Block, Bahria Town - Sector C, Lahore",37000000,5,5,2250.0
"Johar Town, Lahore, Lahore",28500000,5,6,1238.0
"Johar Town, Lahore, Lahore",62500000,6,7,2700.0
"Architects Engineers Housing Society, Lahore, Lahore",31000000,5,5,2250.0
"DHA Phase 5, DHA Defence, Lahore",107500000,5,6,4500.0
"State Life Phase 1 - Block G, State Life Housing Phase 1, Lahore",32000000,4,5,2250.0
"Ali Park, Cantt, Lahore",9000000,3,4,675.0
"Bahria Town - Safari Villas, Bahria Town - Sector B, Lahore",29000000,4,3,2700.0
"Askari 11 - Sector B Apartments, Askari 11, Lahore",28000000,3,3,2250.0
"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore",36500000,5,5,2250.0
"Bahria Town - Safari Villas, Bahria Town - Sector B, Lahore",18000000,4,5,1800.0
"Bahria Homes, Bahria Town - Sector E, Lahore",15800000,3,4,1350.0
"Bahria Town - Gulbahar Block, Bahria Town - Sector C, Lahore",43000000,5,6,2250.0
"Bahria Town - Sector C, Bahria Town, Lahore",15000000,3,4,1125.0
"Bahria Town - Ghaznavi Block, Bahria Town - Sector F, Lahore",41000000,5,6,2250.0
"DHA Phase 1 - Block L, DHA Phase 1, Lahore",205000000,5,6,9000.0
"PGECHS Phase 2 - Block E, PGECHS Phase 2, Lahore",54800000,7,8,4500.0
"Audit & Accounts Phase 1 - Block E, Audit & Accounts Phase 1, Lahore",22500000,5,6,1800.0
"DHA 9 Town, DHA Defence, Lahore",39900000,4,5,1800.0
"DHA Phase 7, DHA Defence, Lahore",43000000,4,5,2250.0
"DHA Phase 6 - Block M, DHA Phase 6, Lahore",75000000,5,6,4500.0
"DHA Phase 7, DHA Defence, Lahore",77500000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",74500000,5,6,4500.0
"Johar Town, Lahore, Lahore",44500000,5,6,2700.0
"Lake City - Sector M-5, Lake City, Lahore",37500000,5,6,2250.0
"IEP Engineers Town - Block E5, IEP Engineers Town - Sector A, Lahore",16500000,5,5,1125.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",18600000,3,4,1125.0
"Lake City - Sector M-7A, Lake City, Lahore",41000000,6,6,1980.0
"DHA 9 Town, DHA Defence, Lahore",27000000,3,4,1125.0
"DHA Phase 6 - Block M, DHA Phase 6, Lahore",74900000,5,6,4500.0
"DHA 11 Rahbar Phase 2, DHA 11 Rahbar, Lahore",22500000,3,4,1125.0
"Paragon City - Orchard 1 Block, Paragon City, Lahore",35000000,5,5,2250.0
"DHA Phase 3 - Block XX, DHA Phase 3, Lahore",39000000,3,4,1575.0
"DHA Phase 5, DHA Defence, Lahore",35000000,4,5,2025.0
"DHA Phase 4, DHA Defence, Lahore",101500000,5,6,4500.0
"PCSIR Staff Colony, Lahore, Lahore",28500000,6,7,2700.0
"PCSIR Staff Colony, Lahore, Lahore",25000000,5,6,1912.0
"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore",36500000,4,6,2250.0
"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore",48500000,7,9,4500.0
"PGECHS Phase 2, Punjab Govt Employees Society, Lahore",8000000,3,3,562.0
"Green Town Sector D2 - Block 6, Green Town Sector D2, Lahore",4000000,2,2,900.0
"Military Accounts Housing Society, Lahore, Lahore",13800000,3,3,900.0
"DHA Phase 6, DHA Defence, Lahore",37500000,4,5,1125.0
"DHA Phase 5, DHA Defence, Lahore",350000000,5,6,9000.0
"Bahria Town - Alamgir Block Extension, Bahria Town - Sector F, Lahore",31000000,5,6,2250.0
"Bahria Town - Block EE, Bahria Town - Sector D, Lahore",16000000,3,4,1125.0
"DHA Phase 5, DHA Defence, Lahore",62500000,5,6,2250.0
"State Life Housing Phase 1, State Life Housing Society, Lahore",45000000,5,6,4500.0
"Bahria Town - Sector C, Bahria Town, Lahore",15000000,3,4,1125.0
"Johar Town Phase 2, Johar Town, Lahore",62500000,5,6,2700.0
"DHA Phase 7, DHA Defence, Lahore",65000000,5,6,4500.0
"DHA Phase 8, DHA Defence, Lahore",47500000,4,5,2250.0
"DHA Phase 5, DHA Defence, Lahore",78000000,5,6,4500.0
"DHA Phase 7, DHA Defence, Lahore",38000000,4,5,2250.0
"State Life Housing Society, Lahore, Lahore",39000000,4,5,2250.0
"Green City, Lahore, Lahore",43500000,5,6,2250.0
"New Super Town, Lahore, Lahore",55000000,6,6,4500.0
"Lake City - Sector M-2A, Lake City, Lahore",40000000,5,6,2250.0
"DHA Phase 6 - Block D, DHA Phase 6, Lahore",370000000,5,6,9000.0
"Al-Kabir Town - Phase 2, Al-Kabir Town, Lahore",17500000,3,4,1125.0
"Bahria Town - Sector B, Bahria Town, Lahore",40000000,5,6,2250.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",52000000,4,4,2250.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",53500000,4,4,2250.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",13500000,2,2,1012.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",78500000,5,6,4500.0
"HBFC Housing Society - Block B, HBFC Housing Society, Lahore",65000000,6,0,4500.0
"DHA Phase 5 - Block B, DHA Phase 5, Lahore",25000000,3,4,1125.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",37500000,4,5,2250.0
"Military Accounts Housing Society, Lahore, Lahore",23500000,5,6,1800.0
"DHA Phase 6 - Block F, DHA Phase 6, Lahore",120000000,5,6,4500.0
"Central Park - Block G, Central Park Housing Scheme, Lahore",29500000,5,6,2475.0
"Johar Town, Lahore, Lahore",42500000,7,0,2250.0
"Wapda Town, Lahore, Lahore",67000000,6,7,4500.0
"DHA 11 Rahbar Phase 2 Extension - Block P, DHA 11 Rahbar Phase 2 Extension, Lahore",20000000,3,4,1125.0
"DHA Phase 7, DHA Defence, Lahore",37000000,4,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",18800000,3,5,1125.0
"DHA Phase 6, DHA Defence, Lahore",44000000,4,5,2250.0
"DHA Phase 5 - Block K, DHA Phase 5, Lahore",95500000,6,8,4500.0
"DHA Phase 7, DHA Defence, Lahore",72500000,5,6,4500.0
"Johar Town, Lahore, Lahore",25000000,5,5,1125.0
"Al-Kabir Phase 2 - Block C, Al-Kabir Town - Phase 2, Lahore",11000000,3,3,675.0
"Izmir Town, Lahore, Lahore",56000000,4,4,4500.0
"Johar Town Phase 2, Johar Town, Lahore",23500000,5,6,1125.0
"DHA Phase 8 - Ex Park View, DHA Phase 8, Lahore",69900000,5,6,4500.0
"Pak Arab Housing Society, Lahore, Lahore",8600000,3,4,788.0
"Bahria Town - Janiper Block, Bahria Town - Sector C, Lahore",41000000,5,6,2250.0
"Bahria Town - Jasmine Block, Bahria Town - Sector C, Lahore",62000000,5,6,2700.0
"Bahria Town - Sector C, Bahria Town, Lahore",35000000,5,6,2250.0
"Bahria Town - Overseas A, Bahria Town - Overseas Enclave, Lahore",38500000,5,6,2250.0
"Bahria Town - Sector B, Bahria Town, Lahore",19800000,3,4,1125.0
"Bahria Town - Iris Block, Bahria Town - Sector C, Lahore",39000000,5,6,2250.0
"Bahria Town - Block BB, Bahria Town - Sector D, Lahore",23000000,3,4,1125.0
"Bahria Town - Iris Block, Bahria Town - Sector C, Lahore",38500000,5,6,2250.0
"Johar Town Phase 2, Johar Town, Lahore",62500000,5,6,2700.0
"Wapda Town Phase 1, Wapda Town, Lahore",75000000,5,6,4500.0
"Wapda Town Phase 1, Wapda Town, Lahore",48000000,5,6,2250.0
"Johar Town Phase 1, Johar Town, Lahore",32500000,5,6,2700.0
"Gulberg, Lahore, Lahore",81900000,3,3,2812.0
"DHA Phase 7, DHA Defence, Lahore",34800000,4,5,2250.0
"DHA Phase 6, DHA Defence, Lahore",77500000,5,6,4500.0
"Bahria Town - Safari Villas, Bahria Town - Sector B, Lahore",18000000,3,4,1800.0
"Bahria Town - Gulbahar Block, Bahria Town - Sector C, Lahore",38500000,5,6,2250.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",18000000,3,4,1125.0
"Johar Town, Lahore, Lahore",24500000,5,5,1125.0
"Johar Town, Lahore, Lahore",39500000,5,5,2700.0
"Rehan Garden Phase 2, Rehan Garden, Lahore",9500000,3,4,1125.0
"Rehan Garden Phase 2, Rehan Garden, Lahore",11000000,6,6,1125.0
"Askari 11 - Sector B Apartments, Askari 11, Lahore",25000000,3,3,2250.0
"Askari 11 - Sector A, Askari 11, Lahore",38500000,3,4,2250.0
"New Lahore City, Lahore, Lahore",14000000,3,3,1125.0
"DHA Phase 5 - Block L, DHA Phase 5, Lahore",54500000,4,5,2250.0
"DHA Phase 5 - Block K, DHA Phase 5, Lahore",51500000,4,5,2250.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",53500000,4,5,2250.0
"DHA Phase 5 - Block L, DHA Phase 5, Lahore",52500000,5,6,2250.0
"Bahria Town - Overseas B, Bahria Town - Overseas Enclave, Lahore",29500000,5,6,2250.0
"Bahria Town - Sector C, Bahria Town, Lahore",47000000,5,6,2250.0
"Bahria Town - Sector C, Bahria Town, Lahore",44000000,5,6,2250.0
"Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue, Lahore",51500000,5,5,2475.0
"Gulberg, Lahore, Lahore",39300000,1,1,1305.0
"DHA Phase 6, DHA Defence, Lahore",350000000,6,7,9000.0
"Gulberg, Lahore, Lahore",15000000,0,1,652.0
"Gulberg, Lahore, Lahore",50000000,2,2,1935.0
"DHA Phase 5, DHA Defence, Lahore",53500000,4,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",18500000,3,4,1125.0
"DHA Phase 5, DHA Defence, Lahore",58000000,5,6,2250.0
"DHA Phase 6, DHA Defence, Lahore",75000000,5,6,4500.0
"Valencia - Block F, Valencia Housing Society, Lahore",41500000,6,7,2250.0
"DHA 9 Town, DHA Defence, Lahore",15000000,3,4,1125.0
"Johar Town, Lahore, Lahore",20500000,5,5,1125.0
"Johar Town, Lahore, Lahore",20000000,5,5,1125.0
"Askari 11 - Sector B Apartments, Askari 11, Lahore",24500000,3,3,2250.0
"Askari 11 - Sector B Apartments, Askari 11, Lahore",33000000,3,3,2250.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",24500000,3,4,1125.0
"Askari 11 - Sector B Apartments, Askari 11, Lahore",26500000,3,3,2250.0
"Askari 11 - Sector B Apartments, Askari 11, Lahore",30000000,4,5,2700.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",18500000,3,4,1125.0
"DHA 9 Town - Block C, DHA 9 Town, Lahore",27500000,3,4,1125.0
"DHA 9 Town - Block D, DHA 9 Town, Lahore",40000000,4,5,1800.0
"Bahria Town - Nargis Block, Bahria Town - Sector C, Lahore",35500000,5,6,2250.0
"DHA Phase 7 - Block Y, DHA Phase 7, Lahore",56100000,4,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",25000000,4,4,1125.0
"Bahria Town - Talha Block, Bahria Town - Sector E, Lahore",39000000,5,6,2250.0
"Bahria Town - Sector C, Bahria Town, Lahore",47500000,5,6,2250.0
"DHA Phase 5, DHA Defence, Lahore",350000000,6,7,9000.0
"Wapda Town Phase 1 - Block F1, Wapda Town Phase 1, Lahore",60000000,5,5,4500.0
"Askari 10 - Sector F, Askari 10, Lahore",82500000,5,5,3825.0
"SJ Garden, Bedian Road, Lahore",11000000,3,4,1125.0
"Askari 10 - Sector F, Askari 10, Lahore",70000000,4,4,3825.0
"State Life Housing Society, Lahore, Lahore",77500000,5,6,4500.0
"DHA 9 Town - Block A, DHA 9 Town, Lahore",26000000,3,4,1125.0
"Formanites Housing Scheme, Lahore, Lahore",17000000,3,5,1125.0
"DHA Phase 7, DHA Defence, Lahore",59000000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",71400000,5,6,5400.0
"Johar Town, Lahore, Lahore",18200000,5,5,1125.0
"Architects Engineers Housing Society, Lahore, Lahore",45000000,5,5,4500.0
"Bahria Town - Ghouri Block, Bahria Town - Sector B, Lahore",50000000,5,7,4500.0
"Bahria Town - Gulbahar Block, Bahria Town - Sector C, Lahore",58000000,5,6,4500.0
"Bahria Town - Gulbahar Block, Bahria Town - Sector C, Lahore",65000000,5,6,4500.0
"DHA Phase 4 - Block DD, DHA Phase 4, Lahore",73000000,5,6,4500.0
"Bahria Town - Block AA, Bahria Town - Sector D, Lahore",35000000,5,6,2250.0
"Bahria Town - Sector D, Bahria Town, Lahore",27500000,3,4,1125.0
"Bahria Town - Sector C, Bahria Town, Lahore",22500000,3,4,1125.0
"Bahria Town - Sector E, Bahria Town, Lahore",34000000,5,6,2250.0
"Bahria Town - Sector E, Bahria Town, Lahore",41500000,5,6,2250.0
"DHA Phase 5 - Block D, DHA Phase 5, Lahore",26500000,3,4,1125.0
"Bahria Town - Overseas A, Bahria Town - Overseas Enclave, Lahore",47000000,5,6,2250.0
"Bahria Town - Talha Block, Bahria Town - Sector E, Lahore",30000000,5,6,2250.0
"Gulshan-e-Lahore, Lahore, Lahore",21000000,5,6,1778.0
"DHA Phase 6, DHA Defence, Lahore",217500000,6,7,9000.0
"Askari 10 - Sector F, Askari 10, Lahore",45500000,4,5,3038.0
"DHA Phase 6, DHA Defence, Lahore",73500000,5,6,4500.0
"Lake City, Raiwind Road, Lahore",195000000,6,8,9000.0
"Askari 11, Askari, Lahore",26500000,3,3,2250.0
"Lake City - Sector M7 - Block A, Lake City - Sector M-7, Lahore",30000000,4,4,1575.0
"Nasheman-e-Iqbal Phase 1, Nasheman-e-Iqbal, Lahore",37000000,6,7,2250.0
"Gulberg 2, Gulberg, Lahore",85000000,5,6,4500.0
"DHA Phase 5, DHA Defence, Lahore",57000000,4,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",26500000,3,4,1125.0
"Architects Engineers Housing Society, Lahore, Lahore",46000000,5,5,4500.0
"Architects Engineers Housing Society, Lahore, Lahore",48000000,5,5,4500.0
"Bismillah Housing Scheme, GT Road, Lahore",8800000,3,3,675.0
"Bismillah Housing Scheme, GT Road, Lahore",26000000,4,5,1350.0
"Bismillah Housing Scheme - Block B, Bismillah Housing Scheme, Lahore",17500000,5,4,1125.0
"Bismillah Housing Scheme, GT Road, Lahore",16000000,5,6,1125.0
"Punjab Small Industries Colony - Block G, Punjab Small Industries Colony, Lahore",22500000,4,5,1575.0
"Gulshan-e-Lahore, Lahore, Lahore",19500000,5,6,1125.0
"Divine Gardens - Block D, Divine Gardens, Lahore",29500000,3,4,1800.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",51500000,4,5,2250.0
"Divine Gardens - Block C, Divine Gardens, Lahore",36500000,4,5,2250.0
"DHA Phase 5 - Block B, DHA Phase 5, Lahore",65000000,4,5,2700.0
"Air Avenue - Block M, DHA Phase 8 - Ex Air Avenue, Lahore",55500000,4,5,2250.0
"DHA Phase 7, DHA Defence, Lahore",75000000,5,6,4500.0
"Bahria Town - Overseas Enclave, Bahria Town, Lahore",100000000,5,6,4500.0
"Johar Town Phase 1, Johar Town, Lahore",75000000,5,6,4500.0
"DHA Phase 6, DHA Defence, Lahore",209000000,6,7,9000.0
"Bankers Co-operative Housing Society, Lahore, Lahore",20000000,3,4,1125.0
"State Life Phase 1 - Block F, State Life Housing Phase 1, Lahore",35000000,4,5,2250.0
"DHA Phase 6, DHA Defence, Lahore",450000000,6,7,9000.0
"DHA Phase 7, DHA Defence, Lahore",57900000,5,6,4500.0
"DHA 9 Town, DHA Defence, Lahore",19000000,3,4,1125.0
"Bahria Town - Ghaznavi Block, Bahria Town - Sector F, Lahore",46500000,6,6,2430.0
"DHA Phase 6, DHA Defence, Lahore",350000000,5,6,9000.0
"Pak Arab Housing Society, Lahore, Lahore",14800000,4,4,900.0
"Architects Engineers Housing Society, Lahore, Lahore",49000000,5,5,4500.0
"Architects Engineers Housing Society, Lahore, Lahore",53000000,5,5,4500.0
"Ferozepur Road, Lahore, Lahore",4000000,2,1,675.0
"Bahria Town - Nargis Extension, Bahria Town - Sector C, Lahore",31500000,5,6,2250.0
"Bahria Town - Sector B, Bahria Town, Lahore",29500000,5,6,2250.0
"Bahria Town - Sector C, Bahria Town, Lahore",39800000,5,6,2250.0
"Punjab Small Industries Colony, Lahore, Lahore",22000000,5,5,2250.0
"DHA Phase 5 - Block L, DHA Phase 5, Lahore",54500000,5,6,2250.0
"Bahria Town - Sector F, Bahria Town, Lahore",45000000,5,6,2250.0
"DHA Phase 6, DHA Defence, Lahore",120000000,5,6,4500.0
"Bahria Town - Safari Villas, Bahria Town - Sector B, Lahore",15000000,2,3,1350.0
"Air Avenue - Block M, DHA Phase 8 - Ex Air Avenue, Lahore",53500000,4,5,2250.0
"DHA Phase 6 - Block J, DHA Phase 6, Lahore",41500000,4,4,1575.0
"DHA Phase 5, DHA Defence, Lahore",61500000,5,6,2250.0
"Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue, Lahore",53000000,4,5,2250.0
"DHA Phase 6 - Block E, DHA Phase 6, Lahore",110000000,5,6,4500.0
"Allama Iqbal Town - Badar Block, Allama Iqbal Town, Lahore",35000000,4,5,2250.0
"Askari 10 - Sector F, Askari 10, Lahore",96000000,5,6,3825.0
"DHA Phase 6 - Block L, DHA Phase 6, Lahore",99500000,5,6,4500.0
"DHA Phase 7 - Block X, DHA Phase 7, Lahore",64000000,5,6,4500.0
"Pak Arab Housing Society, Lahore, Lahore",17000000,3,5,1125.0
"Allama Iqbal Town, Lahore, Lahore",38500000,5,5,2250.0
"DHA Phase 6 - Block D, DHA Phase 6, Lahore",43000000,4,5,1575.0
"Bahria Town - Talha Block, Bahria Town - Sector E, Lahore",4799000,1,1,338.0
"DHA Phase 6 - Block K, DHA Phase 6, Lahore",113000000,5,6,4500.0
"DHA 11 Rahbar Phase 2 - Block L, DHA 11 Rahbar Phase 2, Lahore",23000000,3,4,1125.0
"Johar Town, Lahore, Lahore",18500000,5,5,1125.0
"Central Park - Block A, Central Park Housing Scheme, Lahore",26000000,5,6,2250.0
"Air Avenue Luxury Apartments, DHA Phase 8, Lahore",14500000,2,2,1012.0
"Bahria Town - Sector D, Bahria Town, Lahore",16000000,3,5,1125.0
"Bahria Town - Janiper Block, Bahria Town - Sector C, Lahore",29000000,5,7,2250.0
"DHA Phase 6, DHA Defence, Lahore",94000000,5,6,4500.0
"Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue, Lahore",46500000,4,5,2250.0
"Air Avenue - Block L, DHA Phase 8 - Ex Air Avenue, Lahore",52500000,4,5,2250.0
"Air Avenue - Block P, DHA Phase 8 - Ex Air Avenue, Lahore",82500000,5,6,4500.0
"DHA Phase 6 - Block D, DHA Phase 6, Lahore",42500000,4,5,1800.0
"DHA Phase 7 - Block Y, DHA Phase 7, Lahore",61500000,5,6,2250.0
"Khuda Buksh Colony, Cantt, Lahore",24000000,4,4,1575.0
"Khuda Buksh Colony, Cantt, Lahore",39500000,6,6,4500.0
"Askari 10 - Sector E, Askari 10, Lahore",44000000,4,5,2250.0
"Bedian Road, Lahore, Lahore",7900000,2,2,855.0
"Park Avenue Housing Scheme, Lahore, Lahore",3744000,0,1,292.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",52000000,4,5,2475.0
"DHA Phase 7, DHA Defence, Lahore",68500000,5,6,4500.0
"Park Avenue Housing Scheme, Lahore, Lahore",6290000,2,2,1125.0
"SA Gardens Phase 2, SA Gardens, Lahore",17500000,5,5,1800.0
"Park View City - Tulip Block, Park View City, Lahore",17000000,3,3,1125.0
"Park View City - Tulip Overseas, Park View City, Lahore",16200000,4,5,1125.0
"Park View City - Tulip Block, Park View City, Lahore",23000000,4,5,1350.0
"Park View City - Tulip Block, Park View City, Lahore",15500000,4,4,1125.0
"PIA Housing Scheme, Lahore, Lahore",36000000,5,5,2250.0
"Johar Town, Lahore, Lahore",19000000,5,5,1125.0
"State Life Housing Phase 1, State Life Housing Society, Lahore",41000000,5,6,4500.0
"Valencia Housing Society, Lahore, Lahore",39000000,0,0,2250.0
"Bahria Town - Block BB, Bahria Town - Sector D, Lahore",17500000,3,4,1125.0
"Bahria Town - Janiper Block, Bahria Town - Sector C, Lahore",37000000,5,5,2250.0
"Bahria Town - Overseas B, Bahria Town - Overseas Enclave, Lahore",43000000,5,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",47000000,4,5,1800.0
"DHA 9 Town, DHA Defence, Lahore",41500000,4,5,1800.0
"DHA 9 Town, DHA Defence, Lahore",41800000,4,5,1800.0
"DHA 9 Town, DHA Defence, Lahore",35000000,3,4,1575.0
"DHA Phase 6, DHA Defence, Lahore",57500000,4,4,1800.0
"DHA Phase 5, DHA Defence, Lahore",69000000,5,6,2250.0
"DHA Phase 6, DHA Defence, Lahore",95000000,0,0,4500.0
"DHA Phase 8 - Ex Air Avenue, DHA Phase 8, Lahore",72500000,5,5,4500.0
"Gulberg, Lahore, Lahore",40300000,3,3,1755.0
"Bedian Road, Lahore, Lahore",50000000,2,3,18000.0
"Bedian Road, Lahore, Lahore",7800000,3,4,675.0
"Bedian Road, Lahore, Lahore",12000000,1,1,18000.0
"Park View City - Tulip Extension Block, Park View City, Lahore",30000000,5,5,2250.0
"DHA 9 Town, DHA Defence, Lahore",19000000,3,4,1125.0
